;meta[language=en]
; id      |key(hex)|key(str)| text
2119999000|        |panel_mods|Mods
2119999001|        |panel_modhudscalingfix|HUD Scaling Fix
2119999002|        |preset_mods_modhudscalingfix|HUD Scaling Presets
2119999003|        |option_mod_vertical_frame_scale|Vertical HUD Scale
2119999004|        |option_mod_horizontal_frame_scale|Horizontal HUD Scale
2119999005|        |preset_value_mod_preset_vanilla|Vanilla
2119999006|        |preset_value_mod_preset_16_10|16:10
2119999007|        |preset_value_mod_preset_21_9|21:9
2119999008|        |preset_value_mod_preset_32_9|32:9
2119999009|        |preset_value_mod_preset_4_3|4:3
2119999010|        |preset_value_mod_preset_5_3|5:3
2119999011|        |preset_value_mod_preset_5_4|5:4
